particle_id,time_s,x_m,y_m,path_m,solver,abstol,reltol,gating
1001,0.00000000000000000e+00,8.00000000000000000e+04,6.00000000000000000e+04,0.00000000000000000e+00,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,9.00000000000000000e+02,8.01365784431959473e+04,5.99692544264116077e+04,1.39996290811963490e+02,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,1.80000000000000000e+03,8.02733650838719914e+04,5.99384533215766642e+04,2.80207892066960824e+02,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,2.70000000000000000e+03,8.04103599390442978e+04,5.99075967016224895e+04,4.20634817329453085e+02,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,3.60000000000000000e+03,8.05475630257295707e+04,5.98766845826785793e+04,5.61277080158124022e+02,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,4.50000000000000000e+03,8.06849743609450816e+04,5.98457169808766048e+04,7.02134694105951439e+02,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,5.40000000000000000e+03,8.08225939617086697e+04,5.98146939123503980e+04,8.43207672720252731e+02,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,6.30000000000000000e+03,8.09604218450386979e+04,5.97836153932359593e+04,9.84496029542683118e+02,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,7.20000000000000000e+03,8.10984580279541260e+04,5.97524814396714573e+04,1.12599977810934865e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,8.10000000000000000e+03,8.12367025274744083e+04,5.97212920677972361e+04,1.26771893195074654e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,9.00000000000000000e+03,8.13751553606196248e+04,5.96900472937558079e+04,1.40965350459193587e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,9.90000000000000000e+03,8.15138165444103652e+04,5.96587471336918534e+04,1.55180350955246558e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,1.08000000000000000e+04,8.16526860958677717e+04,5.96273916037522140e+04,1.69416896034645879e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,1.17000000000000000e+04,8.17917640320135688e+04,5.95959807200859068e+04,1.83674987048267826e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,1.26000000000000000e+04,8.19310503698700049e+04,5.95645144988441243e+04,1.97954625346451030e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,1.35000000000000000e+04,8.20705451264599251e+04,5.95329929561802273e+04,2.12255812279007705e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,1.44000000000000000e+04,8.22102483188066690e+04,5.95014161082497449e+04,2.26578549195217602e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,1.53000000000000000e+04,8.23501599639342021e+04,5.94697839712103741e+04,2.40922837443844764e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,1.62000000000000000e+04,8.24902800788669701e+04,5.94380965612219952e+04,2.55288678373126868e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,1.71000000000000000e+04,8.26306086806300445e+04,5.94063538944466272e+04,2.69676073330794361e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,1.80000000000000000e+04,8.27711457862489915e+04,5.93745559870485013e+04,2.84085023664059736e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,1.89000000000000000e+04,8.29118914127499738e+04,5.93427028551939948e+04,2.98515530719632852e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,1.98000000000000000e+04,8.30528455771596928e+04,5.93107945150516607e+04,3.12967595843718391e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,2.07000000000000000e+04,8.31940082965053734e+04,5.92788309827922203e+04,3.27441220382018309e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,2.16000000000000000e+04,8.33353795878148521e+04,5.92468122745885703e+04,3.41936405679743893e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,2.25000000000000000e+04,8.34769594681164745e+04,5.92147384066157829e+04,3.56453153081609616e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,2.34000000000000000e+04,8.36187479544391681e+04,5.91826093950510840e+04,3.70991463931844328e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,2.43000000000000000e+04,8.37607450638124137e+04,5.91504252560738896e+04,3.85551339574191297e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,2.52000000000000000e+04,8.39029508132662158e+04,5.91181860058657767e+04,4.00132781351909580e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,2.61000000000000000e+04,8.40453652198311756e+04,5.90858916606105049e+04,4.14735790607784293e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,2.70000000000000000e+04,8.41879883005384036e+04,5.90535422364939950e+04,4.29360368684122204e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,2.79000000000000000e+04,8.43308200724195922e+04,5.90211377497043577e+04,4.44006516922761512e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,2.88000000000000000e+04,8.44738605525070016e+04,5.89886782164318502e+04,4.58674236665075114e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,2.97000000000000000e+04,8.46171097578334011e+04,5.89561636528689269e+04,4.73363529251967248e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,3.06000000000000000e+04,8.47605677054321422e+04,5.89235940752102033e+04,4.88074396023884765e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,3.15000000000000000e+04,8.49042344123371295e+04,5.88909694996524704e+04,5.02806838320817678e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,3.24000000000000000e+04,8.50481098955828202e+04,5.88582899423946801e+04,5.17560857482302526e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,3.33000000000000000e+04,8.51921941722042247e+04,5.88255554196379817e+04,5.32336454847425284e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,3.42000000000000000e+04,8.53364872592368920e+04,5.87927659475856781e+04,5.47133631754824091e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,3.51000000000000000e+04,8.54809891737169528e+04,5.87599215424432477e+04,5.61952389542696528e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,3.60000000000000000e+04,8.56256999326811056e+04,5.87270222204183447e+04,5.76792729548801344e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,3.69000000000000000e+04,8.57706195531664998e+04,5.86940679977208129e+04,5.91654653110450181e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,3.78000000000000000e+04,8.59157480522109690e+04,5.86610588905626428e+04,6.06538161564534494e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,3.87000000000000000e+04,8.60610854468528123e+04,5.86279949151580076e+04,6.21443256247506906e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,3.96000000000000000e+04,8.62066317541309108e+04,5.85948760877232635e+04,6.36369938495395400e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,4.05000000000000000e+04,8.63523869910847279e+04,5.85617024244769345e+04,6.51318209643807222e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,4.14000000000000000e+04,8.64983511747542507e+04,5.85284739416397060e+04,6.66288071027926344e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,4.23000000000000000e+04,8.66445243221799901e+04,5.84951906554344532e+04,6.81279523982516093e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,4.32000000000000000e+04,8.67909064504030684e+04,5.84618525820862342e+04,6.96292569841930799e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,4.41000000000000000e+04,8.69374975764651317e+04,5.84284597378222679e+04,7.11327209940111152e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,4.50000000000000000e+04,8.70842977174083644e+04,5.83950121388719490e+04,7.26383445610588115e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,4.59000000000000000e+04,8.72313068902755331e+04,5.83615098014668620e+04,7.41461278186490199e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,4.68000000000000000e+04,8.73785251121099427e+04,5.83279527418407451e+04,7.56560709000542829e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,4.77000000000000000e+04,8.75259523999554367e+04,5.82943409762295341e+04,7.71681739385070614e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,4.86000000000000000e+04,8.76735887708564405e+04,5.82606745208713182e+04,7.86824370672005352e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,4.95000000000000000e+04,8.78214342418579326e+04,5.82269533920063841e+04,8.01988604192885487e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,5.04000000000000000e+04,8.79694888300054008e+04,5.81931776058771793e+04,8.17174441278855465e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,5.13000000000000000e+04,8.81177525523449294e+04,5.81593471787283270e+04,8.32381883260677023e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,5.22000000000000000e+04,8.82662254259231267e+04,5.81254621268066330e+04,8.47610931468724448e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,5.31000000000000000e+04,8.84149074677871831e+04,5.80915224663610716e+04,8.62861587232994134e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
1001,5.40000000000000000e+04,8.85637986949848273e+04,5.80575282136427995e+04,8.78133851883102216e+03,Tsit5,9.99999999999999980e-13,9.99999999999999980e-13,false
