particle_id,time_s,x_m,y_m,rhs_x_m_s,rhs_y_m_s,vbase_e,vbase_n,vs_e,vs_n,vw_e,vw_n,v_e,v_n,u_e,u_n,dv_e,dv_n,du_e,du_n,omega,f_cori,tau_sphere,c_v,c_u,rot_v_e,rot_v_n,rot_u_e,rot_u_n,inert_e,inert_n,drift_e,drift_n
1001,0.00000000000000000e+00,8.00000000000000000e+04,6.00000000000000000e+04,1.51638166808682945e-01,-3.41308917665355607e-02,1.24600000000000002e-01,-4.13999999999999993e-02,1.37999999999999998e-02,9.60000000000000089e-03,3.32400000000000029e+00,-1.05800000000000005e+00,1.41160000000000008e-01,-2.98799999999999968e-02,1.51886170799999998e-01,-3.33447643999999974e-02,2.64337599999999973e-07,-8.23747999999999840e-08,2.75046322287999954e-07,-8.66837669239999811e-08,1.10000000000000006e-07,2.52561342592592583e-05,0.00000000000000000e+00,2.52928009259259241e-05,2.52863109259259241e-05,6.21981337841666458e-07,2.93838305387314776e-06,-8.43166080370145689e-07,-3.84064094019709100e-06,-2.78681220016479168e-07,-8.83368579799943350e-07,1.51638166808682945e-01,-3.41308917665355607e-02
1002,0.00000000000000000e+00,2.00000000000000000e+05,1.50000000000000000e+05,1.57054555158214509e-01,-1.82245910153455218e-02,1.31499999999999978e-01,-2.85000000000000045e-02,1.20000000000000002e-02,1.20000000000000020e-02,3.50999999999999979e+00,-9.95000000000000107e-01,1.45899999999999974e-01,-1.41000000000000032e-02,1.57237016999999979e-01,-1.74056330000000037e-02,2.64315999999999969e-07,-8.11609999999999947e-08,2.75944805079999967e-07,-8.54285624299999843e-08,1.10000000000000006e-07,2.52561342592592583e-05,0.00000000000000000e+00,2.52928009259259241e-05,2.52863109259259241e-05,2.93505249784722249e-07,3.03705077614120278e-06,-4.40124247900556906e-07,-3.97594410092709938e-06,-2.05031735195834624e-07,-9.20260265355896634e-07,1.57054555158214509e-01,-1.82245910153455218e-02
1003,0.00000000000000000e+00,3.20000000000000000e+05,2.40000000000000000e+05,1.62470943507746102e-01,-2.31829026415547720e-03,1.38399999999999995e-01,-1.56000000000000028e-02,1.02000000000000007e-02,1.43999999999999996e-02,3.69600000000000017e+00,-9.32000000000000162e-01,1.50639999999999996e-01,1.67999999999999747e-03,1.62587863199999988e-01,-1.46650160000000307e-03,2.64294399999999966e-07,-7.99471999999999789e-08,2.76843287871999980e-07,-8.41733579359999875e-08,1.10000000000000006e-07,2.52561342592592583e-05,0.00000000000000000e+00,2.52928009259259241e-05,2.52863109259259241e-05,-3.49708382722221656e-08,3.13571849840925866e-06,-3.70824154309679258e-08,-4.11124726165710946e-06,-1.31382250375190132e-07,-9.57151950911850765e-07,1.62470943507746102e-01,-2.31829026415547720e-03
1001,4.32000000000000000e+04,8.00000000000000000e+04,6.00000000000000000e+04,1.62158500294635161e-01,-3.76696688855037917e-02,1.33239999999999997e-01,-4.65840000000000004e-02,1.55280000000000001e-02,1.08960000000000012e-02,3.28080000000000016e+00,-1.02344000000000013e+00,1.51873599999999997e-01,-3.35087999999999983e-02,1.62418081968000005e-01,-3.68448681440000023e-02,2.65619776000000000e-07,-8.24542879999999909e-08,2.76143653194879993e-07,-8.65911979294399862e-08,1.10000000000000006e-07,2.52561342592592583e-05,0.00000000000000000e+00,2.52928009259259241e-05,2.52863109259259241e-05,6.97518348509666558e-07,3.16139708536914780e-06,-9.31670791913927309e-07,-4.10695412063537067e-06,-2.91691020951140742e-07,-9.26825716360782956e-07,1.62158500294635161e-01,-3.76696688855037917e-02
1002,4.32000000000000000e+04,2.00000000000000000e+05,1.50000000000000000e+05,1.67574888644166725e-01,-2.17633681343137493e-02,1.40139999999999987e-01,-3.36840000000000056e-02,1.37280000000000006e-02,1.32960000000000023e-02,3.46679999999999966e+00,-9.60440000000000071e-01,1.56613599999999992e-01,-1.77288000000000029e-02,1.67768928167999987e-01,-2.09057367440000051e-02,2.65598175999999997e-07,-8.12404880000000016e-08,2.77042135986880006e-07,-8.53359934354400026e-08,1.10000000000000006e-07,2.52561342592592583e-05,0.00000000000000000e+00,2.52928009259259241e-05,2.52863109259259241e-05,3.69042260452722243e-07,3.26006480763720283e-06,-5.28628959444338368e-07,-4.24225728136537991e-06,-2.18041536130496198e-07,-9.63717401916737087e-07,1.67574888644166725e-01,-2.17633681343137493e-02
1003,4.32000000000000000e+04,3.20000000000000000e+05,2.40000000000000000e+05,1.72991276993698373e-01,-5.85706738312370516e-03,1.47040000000000004e-01,-2.07840000000000039e-02,1.19280000000000011e-02,1.56959999999999981e-02,3.65280000000000005e+00,-8.97440000000000127e-01,1.61353600000000014e-01,-1.94880000000000747e-03,1.73119774368000023e-01,-4.96660534400000797e-03,2.65576575999999994e-07,-8.00266879999999858e-08,2.77940618778880019e-07,-8.40807889414399794e-08,1.10000000000000006e-07,2.52561342592592583e-05,0.00000000000000000e+00,2.52928009259259241e-05,2.52863109259259241e-05,4.05661723957779273e-08,3.35873252990525913e-06,-1.25587126974749480e-07,-4.37756044209538999e-06,-1.44392051309851600e-07,-1.00060908747269122e-06,1.72991276993698373e-01,-5.85706738312370516e-03
1001,8.64000000000000000e+04,8.00000000000000000e+04,6.00000000000000000e+04,1.72678833780587404e-01,-4.12084460044720088e-02,1.41880000000000006e-01,-5.17679999999999946e-02,1.72560000000000005e-02,1.21920000000000014e-02,3.23760000000000048e+00,-9.88880000000000092e-01,1.62587200000000015e-01,-3.71375999999999928e-02,1.72949993136000013e-01,-4.03449718880000002e-02,2.66901952000000028e-07,-8.25337759999999978e-08,2.77240984101760086e-07,-8.64986289348799912e-08,1.10000000000000006e-07,2.52561342592592583e-05,0.00000000000000000e+00,2.52928009259259241e-05,2.52863109259259241e-05,7.73055359177666446e-07,3.38441111686514784e-06,-1.02017550345770861e-06,-4.37326730107365035e-06,-3.04700821885802210e-07,-9.70282852921622562e-07,1.72678833780587404e-01,-4.12084460044720088e-02
1002,8.64000000000000000e+04,2.00000000000000000e+05,1.50000000000000000e+05,1.78095222130118913e-01,-2.53021452532819664e-02,1.48779999999999968e-01,-3.88679999999999998e-02,1.54560000000000010e-02,1.45920000000000008e-02,3.42359999999999998e+00,-9.25880000000000147e-01,1.67327199999999954e-01,-2.13576000000000009e-02,1.78300839335999939e-01,-2.44058404880000031e-02,2.66880351999999971e-07,-8.13199759999999820e-08,2.78139466893759993e-07,-8.52434244408799812e-08,1.10000000000000006e-07,2.52561342592592583e-05,0.00000000000000000e+00,2.52928009259259241e-05,2.52863109259259241e-05,4.44579271120722183e-07,3.48307883913320202e-06,-6.17133670988119777e-07,-4.50857046180365789e-06,-2.31051337065157666e-07,-1.00717453847757585e-06,1.78095222130118913e-01,-2.53021452532819664e-02
1003,8.64000000000000000e+04,3.20000000000000000e+05,2.40000000000000000e+05,1.83511610479650533e-01,-9.39584450209192054e-03,1.55679999999999985e-01,-2.59680000000000015e-02,1.36560000000000015e-02,1.69920000000000002e-02,3.60960000000000036e+00,-8.62880000000000202e-01,1.72067199999999976e-01,-5.57760000000000200e-03,1.83651685535999976e-01,-8.46670908800000246e-03,2.66858752000000021e-07,-8.01061759999999927e-08,2.79037949685760058e-07,-8.39882199468799977e-08,1.10000000000000006e-07,2.52561342592592583e-05,0.00000000000000000e+00,2.52928009259259241e-05,2.52863109259259241e-05,1.16103183063777802e-07,3.58174656140125832e-06,-2.14091838518530783e-07,-4.64387362253366797e-06,-1.57401852244513015e-07,-1.04406622403352955e-06,1.83511610479650533e-01,-9.39584450209192054e-03
