particle_id,time_s,x_m,y_m,path_m
1001,0.00000000000000000e+00,8.00000000000000000e+04,6.00000000000000000e+04,0.00000000000000000e+00
1002,0.00000000000000000e+00,2.00000000000000000e+05,1.50000000000000000e+05,0.00000000000000000e+00
1003,0.00000000000000000e+00,3.20000000000000000e+05,2.40000000000000000e+05,0.00000000000000000e+00
1001,9.00000000000000000e+02,8.01365784431959473e+04,5.99692544264116077e+04,1.39996290811963490e+02
1002,9.00000000000000000e+02,2.00141453076227714e+05,1.49983570607198402e+05,1.42403994754755900e+02
1003,9.00000000000000000e+02,3.20146327709259465e+05,2.39997886787985160e+05,1.46342967586906212e+02
1001,1.80000000000000000e+03,8.02733650838719914e+04,5.99384533215766569e+04,2.80207892066962415e+02
1002,1.80000000000000000e+03,2.00283114116931334e+05,1.49967086703385925e+05,2.85020857495919302e+02
1003,1.80000000000000000e+03,3.20292863149990677e+05,2.39995720085195149e+05,2.92894426096436746e+02
1001,2.70000000000000000e+03,8.04103599390442978e+04,5.99075967016224822e+04,4.20634817329454677e+02
1002,2.70000000000000000e+03,2.00424983139069256e+05,1.49950548304711265e+05,4.27850609554417929e+02
1003,2.70000000000000000e+03,3.20439606339094229e+05,2.39993499907799996e+05,4.39654409524981816e+02
1001,3.60000000000000000e+03,8.05475630257295707e+04,5.98766845826785720e+04,5.61277080158125614e+02
1002,3.60000000000000000e+03,2.00567060159600427e+05,1.49933955427325302e+05,5.70893272221750863e+02
1003,3.60000000000000000e+03,3.20586557293471240e+05,2.39991226271971973e+05,5.86622951778733523e+02
1001,4.50000000000000000e+03,8.06849743609450816e+04,5.98457169808765975e+04,7.02134694105953031e+02
1002,4.50000000000000000e+03,2.00709345195484289e+05,1.49917308087381069e+05,7.14148866750169987e+02
1003,4.50000000000000000e+03,3.20733716030023468e+05,2.39988899193885503e+05,7.33800086674302975e+02
1001,5.40000000000000000e+03,8.08225939617086697e+04,5.98146939123503907e+04,8.43207672720254322e+02
1002,5.40000000000000000e+03,2.00851838263680896e+05,1.49900606301033782e+05,8.57617414353027243e+02
1003,5.40000000000000000e+03,3.20881082565653080e+05,2.39986518689717108e+05,8.81185847938983102e+02
1001,6.30000000000000000e+03,8.09604218450386979e+04,5.97836153932359521e+04,9.84496029542684710e+02
1002,6.30000000000000000e+03,2.00994539381150826e+05,1.49883850084440783e+05,1.00129893620492726e+03
1003,6.30000000000000000e+03,3.21028656917262881e+05,2.39984084775645548e+05,1.02878026921147193e+03
1001,7.20000000000000000e+03,8.10984580279541115e+04,5.97524814396714501e+04,1.12599977810933592e+03
1002,7.20000000000000000e+03,2.01137448564855207e+05,1.49867039453761594e+05,1.14519345344198109e+03
1003,7.20000000000000000e+03,3.21176439101756201e+05,2.39981597467851680e+05,1.17658338404224696e+03
1001,8.10000000000000000e+03,8.12367025274744083e+04,5.97212920677972288e+04,1.26771893195074790e+03
1002,8.10000000000000000e+03,2.01280565831755695e+05,1.49850174425157922e+05,1.28930098716200632e+03
1003,8.10000000000000000e+03,3.21324429136036895e+05,2.39979056782518572e+05,1.32459522589404901e+03
1001,9.00000000000000000e+03,8.13751553606196248e+04,5.96900472937558006e+04,1.40965350459193724e+03
1002,9.00000000000000000e+03,2.01423891198814556e+05,1.49833255014793627e+05,1.43362155842484617e+03
1003,9.00000000000000000e+03,3.21472627037009399e+05,2.39976462735831417e+05,1.47281582814242461e+03
1001,9.90000000000000000e+03,8.15138165444103652e+04,5.96587471336918388e+04,1.55180350955246854e+03
1002,9.90000000000000000e+03,2.01567424682994548e+05,1.49816281238834723e+05,1.57815518825247887e+03
1003,9.90000000000000000e+03,3.21621032821578614e+05,2.39973815343977592e+05,1.62124522407608720e+03
1001,1.08000000000000000e+04,8.16526860958677717e+04,5.96273916037521994e+04,1.69416896034646174e+03
1002,1.08000000000000000e+04,2.01711166301258985e+05,1.49799253113449406e+05,1.72290189762929799e+03
1003,1.08000000000000000e+04,3.21769646506650082e+05,2.39971114623146626e+05,1.76988344689756877e+03
1001,1.17000000000000000e+04,8.17917640320135688e+04,5.95959807200858922e+04,1.83674987048268122e+03
1002,1.17000000000000000e+04,2.01855116070571763e+05,1.49782170654808055e+05,1.86786170750236397e+03
1003,1.17000000000000000e+04,3.21918468109129870e+05,2.39968360589530203e+05,1.91873052972357618e+03
1001,1.26000000000000000e+04,8.19310503698700195e+04,5.95645144988441098e+04,1.97954625346452758e+03
1002,1.26000000000000000e+04,2.01999274007897329e+05,1.49765033879083145e+05,2.01303463878160687e+03
1003,1.26000000000000000e+04,3.22067497645924508e+05,2.39965553259322158e+05,2.06778650558540267e+03
1001,1.35000000000000000e+04,8.20705451264599251e+04,5.95329929561802128e+04,2.12255812279008023e+03
1002,1.35000000000000000e+04,2.02143640130200627e+05,1.49747842802449391e+05,2.15842071233997194e+03
1003,1.35000000000000000e+04,3.22216735133941169e+05,2.39962692648718541e+05,2.21705140742956883e+03
1001,1.44000000000000000e+04,8.22102483188066835e+04,5.95014161082497303e+04,2.26578549195219330e+03
1002,1.44000000000000000e+04,2.02288214454447210e+05,1.49730597441083635e+05,2.30401994901376656e+03
1003,1.44000000000000000e+04,3.22366180590087548e+05,2.39959778773917496e+05,2.36652526811817052e+03
1001,1.53000000000000000e+04,8.23501599639342021e+04,5.94697839712103596e+04,2.40922837443845037e+03
1002,1.53000000000000000e+04,2.02432996997603128e+05,1.49713297811164899e+05,2.44983236960275599e+03
1003,1.53000000000000000e+04,3.22515834031271865e+05,2.39956811651119380e+05,2.51620812042933812e+03
1001,1.62000000000000000e+04,8.24902800788669847e+04,5.94380965612219734e+04,2.55288678373128732e+03
1002,1.62000000000000000e+04,2.02577987776635040e+05,1.49695943928874360e+05,2.59585799487049690e+03
1003,1.62000000000000000e+04,3.22665695474402863e+05,2.39953791296526673e+05,2.66609999705769633e+03
1001,1.71000000000000000e+04,8.26306086806300591e+04,5.94063538944466127e+04,2.69676073330796044e+03
1002,1.71000000000000000e+04,2.02723186808510101e+05,1.49678535810395377e+05,2.74209684554443174e+03
1003,1.71000000000000000e+04,3.22815764936389925e+05,2.39950717726344039e+05,2.81620093061493344e+03
1001,1.80000000000000000e+04,8.27711457862490061e+04,5.93745559870484867e+04,2.84085023664061418e+03
1002,1.80000000000000000e+04,2.02868594110196020e+05,1.49661073471913463e+05,2.88854894231616299e+03
1003,1.80000000000000000e+04,3.22966042434142844e+05,2.39947590956778324e+05,2.96651095363001923e+03
1001,1.89000000000000000e+04,8.29118914127499884e+04,5.93427028551939802e+04,2.98515530719634535e+03
1002,1.89000000000000000e+04,2.03014209698661114e+05,1.49643556929616287e+05,3.03521430584172231e+03
1003,1.89000000000000000e+04,3.23116527984572051e+05,2.39944411004038499e+05,3.11703009854988886e+03
1001,1.98000000000000000e+04,8.30528455771596928e+04,5.93107945150516389e+04,3.12967595843718800e+03
1002,1.98000000000000000e+04,2.03160033590874169e+05,1.49625986199693725e+05,3.18209295674162786e+03
1003,1.98000000000000000e+04,3.23267221604588442e+05,2.39941177884335717e+05,3.26775839773971211e+03
1001,2.07000000000000000e+04,8.31940082965053734e+04,5.92788309827921912e+04,3.27441220382018855e+03
1002,2.07000000000000000e+04,2.03306065803804580e+05,1.49608361298337783e+05,3.32918491560124630e+03
1003,2.07000000000000000e+04,3.23418123311103554e+05,2.39937891613883257e+05,3.41869588348351272e+03
1001,2.16000000000000000e+04,8.33353795878148521e+04,5.92468122745885339e+04,3.41936405679744576e+03
1002,2.16000000000000000e+04,2.03452306354422268e+05,1.49590682241742645e+05,3.47649020297090738e+03
1003,2.16000000000000000e+04,3.23569233121029451e+05,2.39934552208896639e+05,3.56984258798448809e+03
1001,2.25000000000000000e+04,8.34769594681164890e+04,5.92147384066157319e+04,3.56453153081612027e+03
1002,2.25000000000000000e+04,2.03598755259697704e+05,1.49572949046104652e+05,3.62400883936614036e+03
1003,2.25000000000000000e+04,3.23720551051278657e+05,2.39931159685593477e+05,3.72119854336539174e+03
1001,2.34000000000000000e+04,8.36187479544391972e+04,5.91826093950510258e+04,3.70991463931848330e+03
1002,2.34000000000000000e+04,2.03745412536601885e+05,1.49555161727622355e+05,3.77174084526784191e+03
1003,2.34000000000000000e+04,3.23872077118764340e+05,2.39927714060193568e+05,3.87276378166914128e+03
1001,2.43000000000000000e+04,8.37607450638124428e+04,5.91504252560738241e+04,3.85551339574195435e+03
1002,2.43000000000000000e+04,2.03892278202106419e+05,1.49537320302496402e+05,3.91968624112257839e+03
1003,2.43000000000000000e+04,3.24023811340400134e+05,2.39924215348918864e+05,4.02453833485907489e+03
1001,2.52000000000000000e+04,8.39029508132662449e+04,5.91181860058657112e+04,4.00132781351913718e+03
1002,2.52000000000000000e+04,2.04039352273183409e+05,1.49519424786929681e+05,4.06784504734265465e+03
1003,2.52000000000000000e+04,3.24175753733100311e+05,2.39920663567993528e+05,4.17652223481955207e+03
1001,2.61000000000000000e+04,8.40453652198311902e+04,5.90858916606104394e+04,4.14735790607787021e+03
1002,2.61000000000000000e+04,2.04186634766805510e+05,1.49501475197127205e+05,4.21621728430638450e+03
1003,2.61000000000000000e+04,3.24327904313779552e+05,2.39917058733643818e+05,4.32871551335615186e+03
1001,2.70000000000000000e+04,8.41879883005384181e+04,5.90535422364939368e+04,4.29360368684124751e+03
1002,2.70000000000000000e+04,2.04334125699945958e+05,1.49483471549296140e+05,4.36480297235831404e+03
1003,2.70000000000000000e+04,3.24480263099353237e+05,2.39913400862098206e+05,4.48111820219638230e+03
1001,2.79000000000000000e+04,8.43308200724196067e+04,5.90211377497042995e+04,4.44006516922764058e+03
1002,2.79000000000000000e+04,2.04481825089578517e+05,1.49465413859645865e+05,4.51360213180935352e+03
1003,2.79000000000000000e+04,3.24632830106737150e+05,2.39909689969587285e+05,4.63373033298981136e+03
1001,2.88000000000000000e+04,8.44738605525070016e+04,5.89886782164317992e+04,4.58674236665076023e+03
1002,2.88000000000000000e+04,2.04629732952677470e+05,1.49447302144387912e+05,4.66261478293698110e+03
1003,2.88000000000000000e+04,3.24785605352847662e+05,2.39905926072343864e+05,4.78655193730865903e+03
1001,2.97000000000000000e+04,8.46171097578334011e+04,5.89561636528688832e+04,4.73363529251967975e+03
1002,2.97000000000000000e+04,2.04777849306217715e+05,1.49429136419735965e+05,4.81184094598552019e+03
1003,2.97000000000000000e+04,3.24938588854601781e+05,2.39902109186602873e+05,4.93958304664827119e+03
1001,3.06000000000000000e+04,8.47605677054321422e+04,5.89235940752101669e+04,4.88074396023885402e+03
1002,3.06000000000000000e+04,2.04926174167174671e+05,1.49410916701905866e+05,4.96128064116624773e+03
1003,3.06000000000000000e+04,3.25091780628916924e+05,2.39898239328601427e+05,5.09282369242729692e+03
1001,3.15000000000000000e+04,8.49042344123371295e+04,5.88909694996524340e+04,5.02806838320818315e+03
1002,3.15000000000000000e+04,2.05074707552524284e+05,1.49392643007115694e+05,5.11093388865757606e+03
1003,3.15000000000000000e+04,3.25245180692711147e+05,2.39894316514578793e+05,5.24627390598833335e+03
1001,3.24000000000000000e+04,8.50481098955828202e+04,5.88582899423946510e+04,5.17560857482302981e+03
1002,3.24000000000000000e+04,2.05223449479243049e+05,1.49374315351585596e+05,5.26080070860528940e+03
1003,3.24000000000000000e+04,3.25398789062902972e+05,2.39890340760776395e+05,5.39993371859815670e+03
1001,3.33000000000000000e+04,8.51921941722042247e+04,5.88255554196379526e+04,5.32336454847425739e+03
1002,3.33000000000000000e+04,2.05372399964308046e+05,1.49355933751537988e+05,5.41088112112274030e+03
1003,3.33000000000000000e+04,3.25552605756411562e+05,2.39886312083437864e+05,5.55380316144829976e+03
1001,3.42000000000000000e+04,8.53364872592369065e+04,5.87927659475856417e+04,5.47133631754826092e+03
1002,3.42000000000000000e+04,2.05521559024696879e+05,1.49337498223197385e+05,5.56117514629099696e+03
1003,3.42000000000000000e+04,3.25706630790156545e+05,2.39882230498808960e+05,5.70788226565528203e+03
1001,3.51000000000000000e+04,8.54809891737169673e+04,5.87599215424432114e+04,5.61952389542698529e+03
1002,3.51000000000000000e+04,2.05670926677387673e+05,1.49319008782790479e+05,5.71168280415902154e+03
1003,3.51000000000000000e+04,3.25860864181058074e+05,2.39878096023137594e+05,5.86217106226106534e+03
1001,3.60000000000000000e+04,8.56256999326810910e+04,5.87270222204183083e+04,5.76792729548800435e+03
1002,3.60000000000000000e+04,2.05820502939359169e+05,1.49300465446546179e+05,5.86240411474393659e+03
1003,3.60000000000000000e+04,3.26015305946036940e+05,2.39873908672673890e+05,6.01666958223356687e+03
1001,3.69000000000000000e+04,8.57706195531664998e+04,5.86940679977207619e+04,5.91654653110451000e+03
1002,3.69000000000000000e+04,2.05970287827590597e+05,1.49281868230695516e+05,6.01333909803110419e+03
1003,3.69000000000000000e+04,3.26169956102014403e+05,2.39869668463670096e+05,6.17137785646687735e+03
1001,3.78000000000000000e+04,8.59157480522109690e+04,5.86610588905625773e+04,6.06538161564535676e+03
